code	MWL	value
klg	3.143	very short
klh	3.152	very short
kli	4.1	moderately short
klk	2.97	extremely short
kll	3.354	very short
klm	3.744	short
kln	5.101	long
klp	3.917	short
klq	3.621	short
klr	3.086	very short
kls	5.581	very long
klt	4.588	moderately long
klv	4.985	moderately long
klw	4.039	moderately short
kly	4.257	moderately short
klz	3.474	very short
kma	4.342	moderately short
kmb	3.953	short
kmh	2.838	extremely short
kmi	3.859	short
kmj	5.444	long
kmn	4.667	moderately long
kmo	3.829	short
kmp	4.75	moderately long
kmr	4.043	moderately short
kms	3.525	short
kmt	4.161	moderately short
kmu	3.788	short
kmw	5.071	long
kmz	4.064	moderately short
kna	4.392	moderately short
knb	4.233	moderately short
knc	4.763	moderately long
knd	4.729	moderately long
kng	3.553	short
kni	3.962	short
knk	4.221	moderately short
knm	3.395	very short
knn	3.486	very short
knp	4.312	moderately short
knq	3.944	short
knr	4.144	moderately short
knu	4.735	moderately long
knw	4.467	moderately short
koa	5.141	long
kob	3.729	short
kod	4.638	moderately long
koe	3.8	short
koh	3.758	short
koi	4.069	moderately short
kok	3.517	short
kol	4.138	moderately short
kom	3.592	short
kop	3.385	very short
kor	3.45	very short
kos	3.23	very short
kot	4.611	moderately long
kou	2.928	extremely short
kow	3.526	short
koy	4.556	moderately long
kpa	3.029	very short
kpe	3.355	very short
kpm	4.618	moderately long
kpn	4.25	moderately short
kpo	3.372	very short
kpw	3.057	very short
kqq	4.083	moderately short
kra	4.118	moderately short
krb	4.284	moderately short
krc	3.459	very short
krd	3.708	short
kre	4.118	moderately short
krf	4.449	moderately short
krg	3.543	short
krh	4.516	moderately long
kri	3.353	very short
krk	4.025	moderately short
krl	4.244	moderately short
krm	3.406	very short
krn	3.581	short
kro	4.115	moderately short
krr	4.309	moderately short
krt	4.206	moderately short
krw	3.986	short
kry	6.775	extremely long
krz	3.75	short
ksa	5.386	long
kse	3.962	short
ksg	2.625	extremely short
ksh	3.958	short
ksi	3.833	short
ksm	4.036	moderately short
ksp	3.061	very short
ksr	4.029	moderately short
kss	4.217	moderately short
ksu	4.1	moderately short
kta	3.905	short
kte	2.897	extremely short
kth	3.4	very short
kti	3.788	short
ktk	4.2	moderately short
ktl	4.103	moderately short
ktn	4.25	moderately short
kto	3.273	very short
ktp	4.662	moderately long
ktu	3.647	short
kty	3.756	short
ktz	3.229	very short
kug	2.844	extremely short
kui	4.397	moderately short
kul	4.506	moderately long
kum	3.5	very short
kun	4.649	moderately long
kuo	5.308	long
kuq	3.763	short
kur	4.088	moderately short
kus	3.353	very short
kut	5.125	long
kuu	5.162	long
kuv	4.507	moderately long
kuz	5.167	long
kwa	4.091	moderately short
kwb	4.982	moderately long
kwe	3.333	very short
kwk	4.295	moderately short
kwm	3.894	short
kwn	3.919	short
kwo	4.013	moderately short
kwr	4.329	moderately short
kws	3.725	short
kwt	3.655	short
kwy	3.688	short
kxo	3.333	very short
kya	4.692	moderately long
kyg	2.852	extremely short
kyk	4.908	moderately long
kyl	2.897	extremely short
kym	3.638	short
kyn	4.684	moderately long
kyo	2.801	extremely short
kyp	3.143	very short
kyq	4.75	moderately long
kyr	5.605	very long
kyt	5.537	very long
kyz	3.694	short
kzh	2.854	extremely short
kzy	3.319	very short
laa	3.431	very short
lab	4.378	moderately short
lac	3.236	very short
lad	3.031	very short
laf	4.205	moderately short
lag	3.515	short
lah	3	extremely short
lai	3.117	very short
lak	3.929	short
lal	3.694	short
lam	3.85	short
lan	3.6	short
lao	2.987	extremely short
lar	5.903	very long
lat	4.544	moderately long
lau	3.639	short
lav	4.297	moderately short
laz	4.385	moderately short
lbu	3.673	short
lch	1.926	extremely short
lcr	3.346	very short
lda	3.969	short
ldn	3.858	short
ldo	3.057	very short
ldu	2.703	extremely short
leb	3.555	short
lec	3.913	short
leg	3.533	short
lel	4.027	moderately short
len	3.986	short
lep	3.297	very short
les	3.526	short
let	3.721	short
lew	4.143	moderately short
lez	3.435	very short
lga	3.679	short
lge	3.425	very short
lgi	3.869	short
lgt	3.33	very short
lgu	3.882	short
lha	3.021	very short
lho	3.765	short
lic	3.179	very short
lil	5.525	very long
lim	3.962	short
lin	3.564	short
lis	3.205	very short
lit	5.319	long
liv	4.1	moderately short
lje	4.231	moderately short
lkk	3.154	very short
lkt	3.969	short
lla	4.257	moderately short
llm	4.15	moderately short
lma	3.575	short
lmb	3.872	short
lmg	4.125	moderately short
lmh	4.2	moderately short
lml	5.788	very long
